Descriptor,False_negative_N,False_negative_median,False_negative_Q1,False_negative_Q3,True_positive_N,True_positive_median,True_positive_Q1,True_positive_Q3,Median_difference_FN_minus_TP,Cliffs_delta,Absolute_Cliffs_delta,Mann_Whitney_p,BH_adjusted_q
MolWt,40,249.27750000000003,129.14600000000002,349.31675000000007,54,121.67699999999996,90.13575,185.73925,127.60050000000007,0.4925925925925926,0.4925925925925926,4.812105814947824e-05,0.0002712277822970592
MaxPartialCharge,39,0.2926920439228373,0.12977086591246784,0.3433659362020829,52,0.053997464425361755,0.020483850870574024,0.24721489853139272,0.23869457949747558,0.4911242603550296,0.4911242603550296,6.611701235070003e-05,0.00034160456381195016
MaxAbsPartialCharge,39,0.4275169375843017,0.3667846426878702,0.46137970716343424,52,0.32414172163721,0.28568642615295725,0.3775855460336527,0.1033752159470917,0.47830374753451677,0.47830374753451677,0.00010205738182541986,0.00048673520562892553
Chi0v,40,10.525238549988494,5.171546567675366,13.972137986277522,54,5.5810059522507665,4.090804097514169,8.06720872854945,4.944232597737727,0.4537037037037037,0.4537037037037037,0.00018158002123427267,0.0008041400940374932
Chi3n,40,2.019482284735885,0.6689206846932266,3.5833430555726773,54,1.0380154884637873,0.4134624816150886,1.6625430727498065,0.9814667962720978,0.42777777777777776,0.42777777777777776,0.00041677121241438813,0.001614988448105754
Chi4n,40,1.5596666960470724,0.28172014388915817,2.6410802491502006,54,0.45113166878359356,0.12676597947070192,0.9915730625597035,1.1085350272634789,0.42453703703703705,0.42453703703703705,0.00045309834840034696,0.001652476329460089
NumHeteroatoms,40,4.0,3.0,6.0,54,2.0,1.0,4.75,2.0,0.42268518518518516,0.42268518518518516,0.0004039044118945742,0.001614988448105754
MolLogP,40,3.1189500000000008,1.100505,4.789875000000004,54,1.29265,0.47322499999999995,1.9219,1.8263000000000007,0.4148148148148148,0.4148148148148148,0.00062124034454061,0.002139827853417657
MinPartialCharge,39,-0.3936413458759476,-0.4600572519948736,-0.2863664283880476,52,-0.315375941099828,-0.36273279269725417,-0.26887252914249243,-0.0782654047761196,-0.40433925049309666,0.40433925049309666,0.001022888937920853,0.0031709557075546443
HallKierAlpha,40,-0.7700000000000001,-1.9899999999999995,-0.08,54,-0.17000000000000004,-0.6825,0.07249999999999993,-0.6000000000000001,-0.38981481481481484,0.38981481481481484,0.0012918011999130152,0.0036405306543003156
Chi1v,40,6.525487297429967,3.0824436823551165,8.372830583933535,54,3.1735217548805092,2.2501054996427317,4.8286074537573125,3.3519655425494577,0.3824074074074074,0.3824074074074074,0.0016078564594417491,0.0041536291868911855
Chi2v,40,4.6413212384378,2.3872390914308226,7.333668808474362,54,2.4736430520303188,1.3015153794541845,4.001538756213288,2.167678186407481,0.3787037037037037,0.3787037037037037,0.0017848470179686335,0.0042561736582328955
MinEStateIndex,40,-0.6176794461375766,-2.040287580309901,-0.3165205341395818,54,0.5133101851851853,-1.128472222222222,0.8825694444444443,-1.130989631322762,-0.3768518518518518,0.3768518518518518,0.0018797242498748354,0.004316403833045919
NumRotatableBonds,40,3.5,2.0,6.0,54,1.0,0.0,3.75,2.5,0.37407407407407406,0.37407407407407406,0.001774877126636319,0.0042561736582328955
VSA_EState2,40,6.661458333333333,0.0,12.633943535779526,54,0.0,0.0,3.8745833333333337,6.661458333333333,0.3648148148148148,0.3648148148148148,0.00109546248950295,0.0032342225880563286
