Seed,Objective,Test_Fraction,Test_Prevalence,Development_Prevalence,Development_N,Test_N
424,0.09839443358716901,0.15492957746478872,0.17464114832535885,0.18289473684210528,2280,418
537,0.098627627571922,0.16567828020756115,0.15659955257270694,0.18658374055975122,2251,447
491,0.09863673789611055,0.15455893254262418,0.1750599520383693,0.18281455501972818,2281,417
277,0.09870265633944714,0.18198665678280207,0.13034623217922606,0.1930222020842773,2207,491
125,0.0988729024866905,0.15492957746478872,0.18899521531100477,0.18026315789473685,2280,418
349,0.09893494488293403,0.1653076352853966,0.15695067264573992,0.18650088809946713,2252,446
151,0.09911550224807536,0.15381764269829504,0.17590361445783131,0.18265440210249673,2283,415
267,0.09917531504818389,0.15789473684210525,0.16901408450704225,0.18397887323943662,2272,426
353,0.09917531504818389,0.15789473684210525,0.16901408450704225,0.18397887323943662,2272,426
523,0.09918789709921155,0.16160118606375093,0.1628440366972477,0.1852343059239611,2262,436
478,0.09918789709921155,0.16160118606375093,0.1628440366972477,0.1852343059239611,2262,436
389,0.09924911799906191,0.1738324684951816,0.14285714285714285,0.18977119784656796,2229,469
286,0.09935193285539748,0.15344699777613047,0.17632850241545894,0.18257443082311733,2284,414
290,0.09940565936785345,0.16790214974054857,0.152317880794702,0.18752783964365255,2245,453
235,0.09947297940891542,0.16123054114158636,0.1632183908045977,0.18515245249668583,2263,435
46,0.09947297940891542,0.16123054114158636,0.1632183908045977,0.18515245249668583,2263,435
58,0.09975640889316537,0.1608598962194218,0.16359447004608296,0.18507067137809188,2264,434
76,0.10003817350375782,0.16048925129725722,0.16397228637413394,0.18498896247240618,2265,433
334,0.10004585777094452,0.16716085989621943,0.15299334811529933,0.18736092567868268,2247,451
77,0.10004923880273431,0.15233506300963676,0.17761557177615572,0.18233493659816352,2287,411
393,0.10014906084849892,0.16382505559673832,0.1583710407239819,0.18617021276595744,2256,442
539,0.10021510797714969,0.156412157153447,0.17061611374407584,0.18365553602811951,2276,422
417,0.10072398719287681,0.15567086730911786,0.17142857142857143,0.18349429323968394,2278,420
435,0.10072398719287681,0.15567086730911786,0.17142857142857143,0.18349429323968394,2278,420
242,0.10074283295410755,0.16938472942920682,0.1487964989059081,0.18830879071842926,2241,457
192,0.1012253745760047,0.15492957746478872,0.1722488038277512,0.18333333333333332,2280,418
202,0.10133840455026816,0.16234247590808007,0.1598173515981735,0.18584070796460178,2260,438
494,0.10142661222074364,0.1508524833209785,0.18427518427518427,0.18114360541248364,2291,407
171,0.10177688563900067,0.17902149740548554,0.13250517598343686,0.19232505643340858,2215,483
323,0.10192356172984612,0.16160118606375093,0.16055045871559634,0.1856763925729443,2262,436
316,0.10209188543444195,0.15233506300963676,0.1873479318734793,0.18058592041976387,2287,411
282,0.10218524097630699,0.17346182357301704,0.14102564102564102,0.19013452914798207,2230,468
457,0.10221372127836956,0.16123054114158636,0.16091954022988506,0.1855943437914273,2263,435
445,0.10249709199870605,0.15715344699777614,0.16745283018867924,0.18425681618293754,2274,424
287,0.10303087886960482,0.16679021497405486,0.1511111111111111,0.18772241992882563,2248,450
298,0.10315371541980231,0.15196441808747221,0.17560975609756097,0.18269230769230768,2288,410
184,0.1033579565734479,0.1597479614529281,0.16241299303944315,0.18526687251874724,2267,431
257,0.10346247091083507,0.16308376575240918,0.15681818181818183,0.18644818423383525,2258,440
217,0.10359422423696268,0.17197924388435878,0.14224137931034483,0.18979409131602507,2234,464
253,0.10363985444923951,0.15937731653076354,0.16279069767441862,0.18518518518518517,2268,430
378,0.10404994032218914,0.17420311341734618,0.13829787234042554,0.19075403949730702,2228,470
271,0.10405631556484043,0.15492957746478872,0.16985645933014354,0.1837719298245614,2280,418
370,0.10406989467392883,0.15048183839881393,0.17733990147783252,0.1823734729493892,2292,406
440,0.10419857118969042,0.1586360266864344,0.16355140186915887,0.18502202643171806,2270,428
82,0.10451555364590542,0.1497405485544848,0.1782178217821782,0.1822144725370532,2294,404
245,0.10453478446436199,0.15492957746478872,0.1937799043062201,0.1793859649122807,2280,418
57,0.10465922636048072,0.16160118606375093,0.15825688073394495,0.1861184792219275,2262,436
497,0.1049544631478237,0.16123054114158636,0.15862068965517243,0.18603623508616882,2263,435
269,0.10502376046797818,0.15752409191994068,0.16470588235294117,0.1847778266608007,2273,425
483,0.10516814130481972,0.1486286137879911,0.17955112219451372,0.18197649107531563,2297,401
481,0.10554753788075061,0.15381764269829504,0.1927710843373494,0.17958826106000875,2283,415
130,0.10602396262636132,0.1664195700518903,0.1492204899777283,0.18808359270787017,2249,449
